観光地点等名,所在地,緯度,経度,観光地点等大分類,観光地点等中分類,観光地点等小分類
長井浜海水浴場,大飯郡おおい町長井,35.478757,135.640806,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
赤礁崎ｵｰﾄｷｬﾝﾌﾟ場・あかぐり苑地,大飯郡おおい町大島21-95,35.532449,135.664892,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,キャンプ場
きのこの森,大飯郡おおい町鹿野42-27,35.452922,135.565522,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
あみーシャン大飯,大飯郡おおい町本郷82-14,35.473313,135.623604,観光地点,温泉・健康,その他温泉・健康
エル・パークおおい,大飯郡おおい町大島40-22,35.535086,135.654854,観光地点,その他,他に分類されない観光地点
情報交差点ぽーたる,大飯郡おおい町本郷第153-26-1,35.482969,135.619426,観光地点,その他,他に分類されない観光地点
エルガイアおおい,大飯郡おおい町成海1-2,35.480321,135.629846,観光地点,その他,他に分類されない観光地点
福井県こども家族館,大飯郡おおい町成海1-1-1,35.481286,135.628052,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,テーマパークテーマパーク
道の駅「名田庄」,大飯郡おおい町名田庄納田終109-2-1,35.394616,135.584238,観光地点,その他,他に分類されない観光地点
シーサイドスパおおいの湯,大飯郡おおい町成海1-8,35.481287,135.632263,観光地点,温泉・健康,その他温泉・健康
道の駅うみんぴあ大飯,大飯郡おおい町成海1-1-2,35.481268,135.62998,観光地点,その他,他に分類されない観光地点
レインボーライン,三方上中郡若狭町・美浜町,35.596205,135.860189,観光地点,自然（行祭事・イベント）,その他自然
福井県海浜自然センター,三方上中郡若狭町世久見18-2,35.564605,135.841459,観光地点,歴史・文化,博物館
若狭瓜割名水公園,三方上中郡若狭町天徳寺,35.461537,135.842401,観光地点,自然（行祭事・イベント）,河川
熊川宿,三方上中郡若狭町熊川,35.443608,135.900709,観光地点,歴史・文化,歴史的まち並み、旧街道
三方石観世音,三方上中郡若狭町三方1-1,35.561821,135.914029,観光地点,歴史・文化,神社・仏閣
若狭三方縄文博物館,三方上中郡若狭町鳥浜122-12-1,35.55876,135.896372,観光地点,歴史・文化,博物館
海釣り公園みかた,三方上中郡若狭町小川17-36,35.607925,135.84194,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,釣り場
三方五湖レイククルーズ,三方上中郡若狭町海山,35.587593,135.86384,観光地点,自然（行祭事・イベント）,湖沼
みかた温泉「きららの湯」,三方上中郡若狭町中央1-6-1,35.55102,135.909281,観光地点,温泉・健康,温泉地
嶺南牧場,三方上中郡若狭町安賀里77-1,35.472796,135.88983,観光地点,自然（行祭事・イベント）,その他自然
常神半島,三方上中郡若狭町常神,35.637197,135.820409,観光地点,自然（行祭事・イベント）,海岸
縄文プラザ,三方上中郡若狭町鳥浜122-12-1,35.559956,135.894035,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
わかさカントリークラブ,三方上中郡若狭町新道9-3,35.467159,135.891374,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
